"ciudad","fecha","pp","ant_log","ant_op","prob","prob_corte","evento_log","Iop","umbral_op","evento_op"
"10001",2026-09-02,0.2,0.6,0.6,0,0.256,0,0.8,29.6,0
"10004",2026-09-02,0,0.1,0.1,0,0.003,0,0.1,41.5,0
"10005",2026-09-02,0,0,0,0.001,0.371,0,0,38.1,0
"10006",2026-09-02,0,0,0,0,0.34,0,0,70.4,0
"10007",2026-09-02,0,0,0,0,0.564,0,0,104.8,0
"10008",2026-09-02,0,0,0,0,0.016,0,0,113.1,0
"10010",2026-09-02,0,0,NA,0.002,NA,NA,NA,NA,NA
"10013",2026-09-02,0,0,0,0.001,0.311,0,0,3.7,0
"10014",2026-09-02,0,0,0,0.002,0.502,0,0,3,0
"10015",2026-09-02,0,0,0,0.001,0.375,0,0,3.4,0
"10016",2026-09-02,0,0.1,0,0.002,0.519,0,0,1.9,0
"10017",2026-09-02,0,0.1,0,0.002,0.458,0,0,1.9,0
"10156",2026-09-02,3.4,5.4,42.1,0.001,0.001,1,45.5,20.7,1
"10157",2026-09-02,3.8,5.9,36.3,0.001,0.001,1,40.1,235.4,0
"10158",2026-09-02,4.2,8,58.8,0.001,0,1,63,272.5,0
"10159",2026-09-02,4.1,80.8,104.7,0.001,0,1,108.8,27.1,1
"10160",2026-09-02,3.1,8.1,108.1,0.001,0,1,111.2,45.8,1
"10161",2026-09-02,2,2.9,2.9,0.002,0.048,0,4.9,133.6,0
"10162",2026-09-02,2,4.5,4.5,0.001,0.034,0,6.5,126.2,0
"10163",2026-09-02,1.8,7.8,7.8,0.001,0.025,0,9.6,116.4,0
"10164",2026-09-02,0.6,7.1,7.1,0.002,0.038,0,7.7,98.3,0
"10165",2026-09-02,0.1,2.6,1.7,0.003,0.067,0,1.8,92.6,0
"10166",2026-09-02,0.5,1.8,1.5,0.002,0.158,0,2,78.6,0
"10167",2026-09-02,1.1,2.4,1.9,0.002,0.448,0,3,70,0
"10168",2026-09-02,0.6,3,50.5,0.003,0.17,0,51.1,0.2,1
"10169",2026-09-02,0.2,2.4,2.4,0.002,0.364,0,2.6,74.4,0
"10170",2026-09-02,0.4,0.5,33.5,0.002,0.121,0,33.9,1.7,1
"10172",2026-09-02,0.3,24.6,0.7,0.002,0.051,0,1,184.1,0
"10173",2026-09-02,0.2,29.6,1.1,0.001,0.088,0,1.3,119.1,0
"10174",2026-09-02,0.3,1.3,39.3,0.002,0.083,0,39.6,291.1,0
"10175",2026-09-02,0.4,1.4,55.9,0.002,0.048,0,56.2,274.9,0
"10186",2026-09-02,4.3,9.1,2.5,0.001,0,1,6.8,126.6,0
"10187",2026-09-02,3.2,9.2,54.1,0.001,0.001,1,57.3,7.7,1
"10188",2026-09-02,1.9,7.5,30.6,0.001,0.148,0,32.5,1,1
"10189",2026-09-02,1.6,21.2,1.3,0.001,0.152,0,2.8,57,0
"10190",2026-09-02,2.3,24.4,6.4,0.001,0.143,0,8.7,137.5,0
"10193",2026-09-02,3,2.9,37.9,0.005,0.004,1,40.9,20.3,1
"10194",2026-09-02,2.2,2.2,23,0.007,0.038,0,25.2,18.4,1
"10195",2026-09-02,0.8,3.3,0.8,0.003,0.006,0,1.6,10.8,0
"10196",2026-09-02,0.2,3.3,0.8,0.001,0.001,1,1,32.9,0
"10197",2026-09-02,0.2,0.3,2.1,0.001,0.001,1,2.3,0.1,1
"10198",2026-09-02,0.2,3.5,3.5,0,0,1,3.8,0.4,1
"10199",2026-09-02,0.2,0.4,0.4,0,0.029,0,0.5,50.6,0
"10200",2026-09-02,0.3,4.8,0.4,0,0.046,0,0.8,33.7,0
"10201",2026-09-02,0.5,5,5,0.001,0.001,1,5.5,0.1,1
"10202",2026-09-02,0.7,6.9,6.9,0.001,0.001,1,7.6,0.2,1
"10203",2026-09-02,0.7,6.8,2.2,0.001,0,1,3,0.2,1
"10204",2026-09-02,0.5,5.4,1.4,0.001,0.001,1,1.9,62.4,0
"10205",2026-09-02,0.1,0.4,0.2,0.001,0.001,1,0.3,24.4,0
"10206",2026-09-02,0.1,0.8,0.8,0,0.003,0,0.9,40.6,0
"10207",2026-09-02,0.5,1.8,2.6,0,0.087,0,3.1,136.6,0
"10208",2026-09-02,0.7,1.9,1.9,0,0.064,0,2.7,82,0
"10209",2026-09-02,0.7,1.8,1.8,0.001,0.013,0,2.5,23.3,0
"10210",2026-09-02,0.5,1.7,1.5,0.001,0.089,0,2.1,27.1,0
"10211",2026-09-02,0.3,1,0.8,0,0.018,0,1.1,22,0
"10216",2026-09-02,0.1,0.1,0.1,0,0.013,0,0.1,28.9,0
"10218",2026-09-02,0,0,0,0,0.012,0,0.1,101.4,0
"10219",2026-09-02,0,0,0,0,0.008,0,0,56.8,0
"10224",2026-09-02,0,0,0,0.001,0.23,0,0,8.3,0
"10225",2026-09-02,0,0,0,0.001,0.364,0,0,3.5,0
"10226",2026-09-02,0,0.1,0,0.001,0.621,0,0,2.9,0
"10227",2026-09-02,0,0.1,0,0.001,0.36,0,0,1.7,0
"10228",2026-09-02,0,0.1,0,0.002,0.335,0,0,3.7,0
"10366",2026-09-02,3.4,5.1,39.9,0.001,0.001,1,43.3,19.7,1
"10367",2026-09-02,3.4,5.2,32.6,0.001,0.001,1,36,276.3,0
"10368",2026-09-02,3.1,5.7,43.8,0.001,0.001,1,46.9,298.3,0
"10369",2026-09-02,3,6.9,64.6,0.001,0,1,67.7,260.4,0
"10370",2026-09-02,3,3.2,3.2,0.002,0.072,0,6.3,126,0
"10371",2026-09-02,2.3,3.1,3.1,0.001,0.043,0,5.4,142.7,0
"10372",2026-09-02,1.9,3.4,3.4,0.001,0.065,0,5.3,173.1,0
"10373",2026-09-02,1.8,4.6,4.6,0.001,0.067,0,6.4,170.6,0
"10374",2026-09-02,0.8,2.6,2.6,0.001,0.064,0,3.4,133.7,0
"10375",2026-09-02,0.2,71.1,93.9,0.007,0.003,1,94.1,1.3,1
"10376",2026-09-02,0.3,37.7,0.4,0.004,0.08,0,0.6,61.5,0
"10377",2026-09-02,1.2,1.3,0.9,0.001,0.073,0,2.1,62.5,0
"10378",2026-09-02,1.2,1.1,1.1,0.001,0.186,0,2.2,77.2,0
"10379",2026-09-02,0.6,1.1,0.7,0.001,0.299,0,1.4,66.3,0
"10380",2026-09-02,0.6,0.9,32,0.002,0.453,0,32.7,1.1,1
"10381",2026-09-02,0.8,0.5,1,0.003,0.297,0,1.8,84.8,0
"10382",2026-09-02,0.4,1.1,1.1,0,0.397,0,1.5,130.6,0
"10396",2026-09-02,4.3,7.4,2.6,0.001,0,1,6.9,115.7,0
"10397",2026-09-02,3.2,37.2,2.2,0.001,0.183,0,5.4,140.5,0
"10398",2026-09-02,2.5,37.4,1.8,0.001,0.234,0,4.3,128.5,0
"10399",2026-09-02,2.4,32.4,1.9,0.001,0.247,0,4.3,111.7,0
"10400",2026-09-02,2.9,64.2,2.5,0.002,0.09,0,5.4,102.5,0
"10401",2026-09-02,3.4,3.1,79.5,0.002,0.115,0,82.9,4.6,1
"10402",2026-09-02,3.6,66.7,44.3,0.001,0.001,1,48,3,1
"10403",2026-09-02,4.1,3.8,48.7,0.006,0.005,1,52.7,66.9,0
"10404",2026-09-02,3.7,3.5,34.6,0.007,0.006,1,38.2,57.6,0
"10405",2026-09-02,1.6,17.8,17.8,0.001,0.001,1,19.4,3.3,1
"10406",2026-09-02,0.4,4.6,4.6,0.001,0.001,1,5,0.6,1
"10407",2026-09-02,0.2,3.7,3.7,0.001,0.001,1,4,0.1,1
"10408",2026-09-02,0.2,6.2,0.2,0.001,0.123,0,0.3,43.5,0
"10409",2026-09-02,0.1,9.7,0.1,0.001,0.114,0,0.2,42.6,0
"10410",2026-09-02,0.1,7.5,0.2,0,0.074,0,0.3,43,0
"10411",2026-09-02,0.3,1,4.4,0.001,0.008,0,4.7,0.3,1
"10412",2026-09-02,0.5,1.6,6.1,0.001,0.001,1,6.6,0.4,1
"10413",2026-09-02,0.5,6.5,6.5,0.001,0.001,1,7,0.4,1
"10414",2026-09-02,0.3,4.8,2.4,0.001,0.001,1,2.7,0.4,1
"10415",2026-09-02,0.1,0.5,0.5,0.001,0.01,0,0.7,40.8,0
"10416",2026-09-02,0.2,1,1.3,0,0.002,0,1.4,46.4,0
"10417",2026-09-02,0.5,2.7,2.4,0,0.046,0,2.9,96.5,0
"10418",2026-09-02,0.8,3,2.8,0,0.013,0,3.6,85.2,0
"10419",2026-09-02,0.7,2.6,1.5,0,0.006,0,2.3,24.8,0
"10420",2026-09-02,0.6,1.9,1.9,0.002,0.003,0,2.5,17.5,0
"10421",2026-09-02,0.5,1.5,1.5,0.001,0.003,0,2,17.8,0
"10424",2026-09-02,0.1,0.6,0.6,0,0.02,0,0.7,70.4,0
"10425",2026-09-02,0.2,0.4,0.6,0,0.017,0,0.8,75.4,0
"10435",2026-09-02,0,0,0,0.001,0.277,0,0,10.4,0
"10436",2026-09-02,0,0,0,0.001,0.11,0,0,7.4,0
"10437",2026-09-02,0,0,0.1,0,0.209,0,0.1,5.9,0
"10438",2026-09-02,0,0,0,0.001,0.441,0,0,1.9,0
"10439",2026-09-02,0,0,0,0.002,0.707,0,0,1.8,0
"10440",2026-09-02,0,0,0,0.001,0.58,0,0,1.8,0
"10441",2026-09-02,0,0,0,0.002,0.691,0,0,1.6,0
"10576",2026-09-02,3.9,43.1,43.1,0.002,0.001,1,47,10,1
"10577",2026-09-02,3.8,5.9,35.6,0.002,0.001,1,39.4,279.7,0
"10578",2026-09-02,2.7,4.5,33.4,0.001,0.202,0,36.1,349.4,0
"10579",2026-09-02,2.5,4.6,40.7,0.001,0.001,1,43.1,306.9,0
"10580",2026-09-02,3,2.9,65.7,0.002,0.075,0,68.7,307.7,0
"10581",2026-09-02,2.7,3.1,3.1,0.002,0.052,0,5.8,105.8,0
"10582",2026-09-02,1.8,2.4,2.4,0.001,0.186,0,4.2,145,0
"10583",2026-09-02,1.4,2.1,2.1,0.001,0.168,0,3.4,180.5,0
"10584",2026-09-02,0.9,1.3,1.3,0.001,0.26,0,2.2,200.4,0
"10585",2026-09-02,0.3,51.3,0.6,0.006,0.004,1,0.9,0.1,1
"10588",2026-09-02,2,0.3,36.2,0.002,0.108,0,38.2,170.3,0
"10589",2026-09-02,0.5,0.3,0.2,0.001,0.407,0,0.6,68.7,0
"10590",2026-09-02,0.1,0.2,0.1,0.002,0.524,0,0.2,148.3,0
"10591",2026-09-02,0.6,0.7,0.4,0.001,0.119,0,1,81.6,0
"10592",2026-09-02,0.4,1,1,0,0.061,0,1.4,65.4,0
"10593",2026-09-02,0.3,1.1,25.6,0,0.08,0,25.9,173.8,0
"10605",2026-09-02,3.8,35.6,24.6,0.001,0.001,1,28.4,2.6,1
"10606",2026-09-02,4,6,2.5,0.001,0.281,0,6.6,99.7,0
"10607",2026-09-02,3.4,26.4,2.3,0.001,0.372,0,5.7,140,0
"10608",2026-09-02,2.3,35.6,1.7,0.001,0.518,0,4,173.4,0
"10609",2026-09-02,2.4,1.8,1.8,0.001,0.605,0,4.2,174.6,0
"10610",2026-09-02,3.3,57.7,2.7,0.002,0.372,0,6.1,147.3,0
"10611",2026-09-02,4.2,9.8,3.7,0.002,0.194,0,7.9,142.8,0
"10612",2026-09-02,4.2,75.1,75.1,0.001,0.001,1,79.3,9.8,1
"10613",2026-09-02,4.7,51,51,0.008,0.007,1,55.8,91.3,0
"10614",2026-09-02,4.3,39.6,39.6,0.001,0.001,1,43.9,11.7,1
"10615",2026-09-02,1.9,18,18,0.001,0.001,1,20,3.1,1
"10616",2026-09-02,0.6,5.8,5.8,0,0,1,6.5,0.3,1
"10617",2026-09-02,0.4,3.4,5.4,0.001,0,1,5.8,0.1,1
"10618",2026-09-02,0.3,0.7,8.5,0.001,0,1,8.7,0.3,1
"10619",2026-09-02,0.1,5.9,0.1,0.001,0.161,0,0.2,55.1,0
"10620",2026-09-02,0.1,2.3,0.1,0.001,0.148,0,0.2,53.3,0
